disease_id,disease_group,icd_code,disease,icd_name,share_outpatient,share_oneday,share_inpatient,top1_code,top2_code,top3_code,top1_share,top2_share,top3_share,n_total,n_Female_25-44_Low,n_Female_25-44_Med,n_Female_25-44_High,n_Female_45-64_Low,n_Female_45-64_Med,n_Female_45-64_High,n_Female_65+_Low,n_Female_65+_Med,n_Female_65+_High,n_Male_25-44_Low,n_Male_25-44_Med,n_Male_25-44_High,n_Male_45-64_Low,n_Male_45-64_Med,n_Male_45-64_High,n_Male_65+_Low,n_Male_65+_Med,n_Male_65+_High
124,Eyelid disorders and ?red eye?,H04 M35 H19,"Disorders of lacrimal system, Other systemic involvement of connective tissue","Disorders of lacrimal system, Other systemic involvement of connective tissue",0.99864,0.00125,0.00011,H04,M35,H19,0.52,0.41,0.06,142184,3497,3812,5465,13750,11562,7967,18765,17254,16927,1945,1495,1520,5116,4735,4583,7728,7940,8123
125,Eyelid disorders and ?red eye?,H15,Disorders of sclera,Disorders of sclera,0.998885,0.000496,0.00062,H15,H10,Z00,1.00,0.00,0.00,5600,313,367,502,567,598,447,247,166,189,198,242,236,296,345,407,134,161,185
126,Eyelid disorders and ?red eye?,H16,Keratitis,Keratitis,0.98828,0.005034,0.006686,H16,T15,H18,0.52,0.20,0.16,93181,2783,3759,6057,5276,5136,4132,4042,3888,3686,7655,8299,5720,7119,8504,6100,3669,3834,3522
127,Eyelid disorders and ?red eye?,H18,Other disorders of cornea,Other disorders of cornea,0.938061,0.035001,0.026938,H18,H16,H17,0.77,0.12,0.06,45121,1109,1390,2170,2670,2525,2094,3961,3829,3741,1902,1740,1620,2120,2443,2798,2601,2768,3640
128,Eyelid disorders and ?red eye?,H20,Iridocyclitis,Iridocyclitis,0.99416,0.004326,0.001514,H20,B00,B02,0.93,0.02,0.01,22824,669,838,1171,1701,1619,1143,1608,1381,1409,1069,923,861,1476,1576,1706,1098,1224,1352
129,Eyelid disorders and ?red eye?,H30-H36,Disorders of choroid and retina,Disorders of choroid and retina,0.946023,0.019916,0.034061,D31,H30,H21,0.28,0.19,0.16,14738,350,442,612,1056,902,668,1355,1203,1157,517,460,411,811,872,911,857,1041,1113
130,Posterior chamber / retinal disorders,H30-H36,Disorders of choroid and retina,Disorders of choroid and retina,0.911843,0.07836,0.009797,H35,H33,H34,0.76,0.12,0.08,247560,1190,1497,2090,10320,9130,6549,32037,35506,30120,2303,2145,1922,8894,9899,12271,24510,26594,30583
131,Posterior chamber / retinal disorders,H40-H42,Glaucoma,Glaucoma,0.986272,0.012034,0.001694,H40,Z00,Z83,0.98,0.01,0.00,215041,2435,3440,4851,17046,15878,11946,20986,19265,20832,2368,2650,2693,9875,12576,14826,14580,17503,21291
132,Posterior chamber / retinal disorders,H43,Disorders of vitreous body,Disorders of vitreous body,0.97342,0.024413,0.002167,H43,Z00,T81,0.99,0.00,0.00,187049,1287,1730,2528,18661,16991,12737,20015,16025,17674,1368,1326,1347,6670,8869,12971,11381,15702,19767
134,Other eye disorders,H44.9,Unspecified disorder of globe,Unspecified disorder of globe,0.948839,0.022568,0.028592,S05,H44,H15,0.35,0.34,0.26,6602,258,225,392,428,379,328,317,287,289,482,447,381,485,456,523,293,299,333
135,Other eye disorders,H46-H48,Disorders of optic nerve and visual pathways,Disorders of optic nerve and visual pathways,0.991013,0.004824,0.004164,H47,G43,H57,0.38,0.26,0.10,69314,2430,2833,3489,5691,4815,3312,6051,5488,5807,1632,1466,1185,3630,3875,3912,4102,4536,5060
136,Other eye disorders,H49,Paralytic strabismus,Paralytic strabismus,0.865034,0.055722,0.079244,H49,H53,H51,0.32,0.29,0.16,7453,116,142,251,447,390,276,644,587,589,163,150,139,476,457,527,644,694,761
137,Other eye disorders,H53-H54,Visual disturbances and blindness,Visual disturbances and blindness,0.998424,0.001455,0.00012,H53,H52,H35,0.93,0.06,0.00,51358,1789,1906,2194,4394,3480,2164,4924,4613,4471,1263,1054,935,2600,2514,2537,3220,3515,3785
138,Hearing disorders / inner ear disorders,H80 H90 H74,"Otosclerosis, Conductive and sensorineural hearing loss","Otosclerosis, Conductive and sensorineural hearing loss",0.832725,0.060479,0.106796,H90,H80,H74,0.35,0.29,0.17,16481,637,867,1162,1767,1655,1094,826,705,722,581,597,543,929,1239,1211,565,702,679
139,Hearing disorders / inner ear disorders,H81 R42,Disorders of vestibular function,Disorders of vestibular function,0.915219,0.024141,0.06064,R42,H81,H83,0.49,0.47,0.02,125810,3872,4682,5465,12660,10410,6195,12204,10693,10546,2318,2439,2060,6580,7519,6258,6890,7522,7497
140,Hearing disorders / inner ear disorders,H90-H95,Other disorders of ear,Other disorders of ear,0.99545,0.002191,0.002359,H90,H91,H93,0.50,0.31,0.12,498048,7068,8903,11575,28378,24931,16858,43856,46036,40842,9019,8713,8190,26740,32819,34134,43283,51143,55560
142,Other disorders of the nervous system and sensory organs,G00-G09,Inflammatory diseases of the central nervous system,Inflammatory diseases of the central nervous system,0.482138,0.076961,0.4409,G03,Z03,A69,0.13,0.12,0.12,13292,464,551,739,845,691,517,817,695,674,723,635,533,932,983,896,814,856,927
143,Other disorders of the nervous system and sensory organs,G10-G13,Systemic atrophies primarily affecting the central nervous system,Systemic atrophies primarily affecting the central nervous system,0.858939,0.051119,0.089943,R26,G12,G11,0.33,0.31,0.16,7301,63,67,82,349,290,175,702,549,670,140,88,62,504,450,423,815,855,1017
144,Other disorders of the nervous system and sensory organs,G43,Migraine,Migraine,0.930111,0.024799,0.04509,G43,G44,G98,0.91,0.05,0.01,59749,5301,6193,7741,6505,6060,4313,1929,1426,1605,2586,2535,2084,2652,3029,3118,699,908,1065
145,Other disorders of the nervous system and sensory organs,G44,Other headache syndromes,Other headache syndromes,0.928403,0.01992,0.051677,R51,G44,G50,0.54,0.43,0.01,121154,8398,7759,7856,12686,9089,5215,8231,6598,6141,6398,4893,3622,8504,7353,5435,4614,4447,3915
146,Other disorders of the nervous system and sensory organs,G47,Sleep disorders,Sleep disorders,0.698115,0.128332,0.173553,G47,Z03,Z13,0.88,0.04,0.03,268244,7068,7648,8190,20193,17370,11113,7600,5617,6765,15196,16219,12474,28314,34710,32118,11584,13056,13009
147,Other disorders of the nervous system and sensory organs,G51 G52 H49,"Facial nerve disorders, Disorders of other cranial nerves","Facial nerve disorders, Disorders of other cranial nerves",0.915149,0.030431,0.05442,G51,G52,S04,0.67,0.12,0.05,14842,593,648,804,1259,991,683,938,829,797,703,546,437,1155,1130,999,831,771,728
148,Other disorders of the nervous system and sensory organs,G56 G57 G54,"Mononeuropathies of upper limb, Carpal tunnel syndrome","Mononeuropathies of upper limb, Carpal tunnel syndrome",0.930603,0.059938,0.009459,G56,G57,G54,0.72,0.11,0.05,247612,12449,12844,11395,32408,24685,12939,15965,14578,13168,7603,7098,4304,16656,17798,11956,10032,11348,10386
149,Other disorders of the nervous system and sensory organs,G50,Disorders of trigeminal nerve,Disorders of trigeminal nerve,0.950482,0.021222,0.028296,G50,S04,B02,0.93,0.04,0.01,9071,384,467,543,1037,872,584,754,628,575,196,186,183,423,473,497,395,406,468
150,Other disorders of the nervous system and sensory organs,G60-G64,Polyneuropathies and other disorders of the peripheral nervous system,Polyneuropathies and other disorders of the peripheral nervous system,0.939767,0.024742,0.035491,G62,E14,Z03,0.66,0.06,0.05,76537,1072,1111,1183,5262,4127,2469,7224,6538,6921,1152,894,699,5274,4977,4586,6923,7581,8544
151,Other disorders of the nervous system and sensory organs,G70-G73,Diseases of myoneural junction and muscle,Diseases of myoneural junction and muscle,0.909371,0.035487,0.055142,G70,G72,G71,0.24,0.16,0.11,19551,749,787,930,1603,1273,877,1058,830,955,878,795,664,1575,1707,1458,1072,1094,1246
153,Other disorders of the nervous system and sensory organs,G91 G93 G96,"Hydrocephalus, Other disorders of brain","Hydrocephalus, Other disorders of brain",0.736499,0.053345,0.210156,G91,G93,G96,0.13,0.13,0.07,28627,775,803,921,1759,1291,815,2847,2576,2412,777,576,402,1936,1456,1119,2879,2650,2633
154,Other disorders of the nervous system and sensory organs,E51 E53 E56,"Thiamine deficiency, Deficiency of other B group vitamins","Thiamine deficiency, Deficiency of other B group vitamins",0.757182,0.012466,0.230352,E51,E53,E56,0.40,0.32,0.24,1176,,61,54,122,71,,70,59,55,55,,,187,107,54,96,101,84
155,Other disorders of the nervous system and sensory organs,M31 M35,"Other necrotizing vasculopathies, Other systemic involvement of connective tissue","Other necrotizing vasculopathies, Other systemic involvement of connective tissue",0.821551,0.023336,0.155113,M31,M35,I67,0.60,0.36,0.01,982,,,,57,,,193,186,171,,,,,,,126,125,124
156,Other disorders of the nervous system and sensory organs,G95 Z03 G83,"Other and unspecified diseases of spinal cord, Other paralytic syndromes","Other and unspecified diseases of spinal cord, Other paralytic syndromes",0.773962,0.043458,0.18258,G95,Z03,G83,0.45,0.17,0.10,7394,251,296,337,560,503,318,495,399,468,274,223,179,571,551,419,500,513,537
157,Other disorders of the nervous system and sensory organs,I95 G90,"Hypotension, Disorders of autonomic nervous system","Hypotension, Disorders of autonomic nervous system",0.904716,0.053681,0.041603,I95,G90,R55,0.56,0.41,0.00,3551,100,111,166,198,163,115,340,303,270,83,96,72,178,203,152,300,348,353
158,Other disorders of the nervous system and sensory organs,M50-M54,Other dorsopathies,Other dorsopathies,0.863192,0.029204,0.107604,G95,M47,M50,0.54,0.21,0.18,10231,194,240,250,802,670,401,732,649,716,248,229,143,935,809,624,898,852,839
159,Hypertension,I10-I15,Hypertensive diseases,Hypertensive diseases,0.860033,0.044084,0.095883,I10,I15,I12,0.92,0.04,0.01,67697,1654,1979,2639,5423,4625,2927,6202,5391,5145,1540,1465,1170,4983,5178,5004,3863,4224,4285
161,Chest pain,I05-I09,Chronic rheumatic heart diseases,Chronic rheumatic heart diseases,0.018576,0.001548,0.979876,I08,I34,I35,0.40,0.18,0.15,1964,,,,69,,,256,178,230,,,,109,103,93,287,311,328
162,Chest pain,I20 I25 I24,"Angina pectoris, Chronic ischemic heart disease, Other acute ischemic heart diseases","Angina pectoris, Chronic ischemic heart disease, Other acute ischemic heart diseases",0.14103,0.15214,0.70683,I20,I25,I24,0.68,0.18,0.11,47342,218,164,148,2132,1512,781,4086,4061,3234,489,331,192,4176,3810,2923,6794,6569,5722
163,Chest pain,I21,STEMI & NSTEMI mocard infrc,STEMI & NSTEMI mocard infrc,0.060802,0.047123,0.892075,I21,I99,Z76,0.98,0.01,0.00,94468,385,327,235,3671,2604,1323,7685,8149,6299,1261,1043,596,9349,9291,7489,12000,12197,10564
164,Chest pain,I20.8 I20.9 R07.4,"Other forms of angina pectoris, Angina pectoris, unspecified","Other forms of angina pectoris, Angina pectoris, unspecified",0.646507,0.219326,0.134167,R07,I20,r07,0.70,0.24,0.02,630466,12197,11148,10864,55745,43919,25797,52727,47113,43538,16034,13192,10528,50852,50692,44452,46985,48999,45684
165,Chest pain,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation,Pulmonary heart disease and diseases of pulmonary circulation,0.403909,0.032445,0.563646,I26,I27,I82,0.82,0.08,0.04,43584,1123,1246,1461,2686,2319,1553,4255,3872,3667,748,658,573,2491,2918,3121,3417,3856,3620
166,Chest pain,I50 I51 I42,"Heart failure, Complications and ill-defined descriptions of heart disease, Cardiomyopathy","Heart failure, Complications and ill-defined descriptions of heart disease, Cardiomyopathy",0.596047,0.060603,0.34335,I50,I51,I42,0.74,0.10,0.10,179577,1152,1318,1485,6218,4651,2627,21955,24462,17503,1721,1377,1163,9009,7623,6373,26798,23891,20251
167,Chest pain,I48,Atrial fibrillation and flutter,Atrial fibrillation and flutter,0.632139,0.1947,0.173161,I48,I99,Z76,0.98,0.01,0.00,230840,438,562,648,6220,5143,3045,27869,28864,24572,1284,1439,1405,9339,11655,13227,29298,31321,34511
168,Chest pain,I49 I45 I47,"Other cardiac arrhythmias, Other conduction disorders, Paroxysmal tachycardia","Other cardiac arrhythmias, Other conduction disorders, Paroxysmal tachycardia",0.673882,0.112933,0.213185,I49,I45,I47,0.47,0.22,0.15,349249,7055,8306,10155,22398,19307,12266,32245,31602,28665,5502,5675,5282,16397,18915,19921,32782,34991,37785
169,Chest pain,I35 I38 I34,"Nonrheumatic aortic valve disorders, Endocarditis, valve unspecified,","Nonrheumatic aortic valve disorders, Endocarditis, valve unspecified,",0.852694,0.066044,0.081262,I35,I34,I38,0.47,0.18,0.18,141607,1165,1460,1802,6068,4842,3038,19716,20191,17153,918,910,871,4552,5269,5270,15377,16170,16835
170,Chest pain,I31 I30,"Other diseases of pericardium, Acute pericarditis","Other diseases of pericardium, Acute pericarditis",0.455413,0.124423,0.420164,I31,I30,I01,0.61,0.33,0.01,13485,248,273,298,883,703,408,698,550,645,877,794,647,1193,1325,1170,891,929,953
171,Stroke,G45,Transient cerebral ischemic attacks and related syndromes,Transient cerebral ischemic attacks and related syndromes,0.46489,0.245212,0.289898,G45,Z03,I64,0.87,0.09,0.02,89355,559,549,600,4529,3302,1992,10249,10693,9579,525,531,425,4550,4948,4514,9710,10539,11561
172,Stroke,I60,Nontraumatic subarachnoid hemorrhage,Nontraumatic subarachnoid hemorrhage,0.444302,0.017414,0.538284,I60,S06,Z76,0.83,0.10,0.03,5770,126,115,147,686,560,346,559,427,453,137,95,75,373,380,306,340,318,327
173,Stroke,I61,Nontraumatic intracerebral hemorrhage,Nontraumatic intracerebral hemorrhage,0.165746,0.011826,0.822428,I61,S06,I62,0.85,0.06,0.04,16494,80,78,79,516,399,255,2277,2112,1901,149,92,67,773,586,520,2357,2102,2151
174,Stroke,I62,Other and unspecified nontraumatic intracranial hemorrhage,Other and unspecified nontraumatic intracranial hemorrhage,0.30775,0.010271,0.681979,S06,I62,Z76,0.58,0.39,0.01,11457,,50,65,249,214,147,1177,1341,1133,201,127,74,478,384,353,1816,1666,1982
176,Stroke,I64,"Stroke, not specified as haemorrhage or infarction","Stroke, not specified as haemorrhage or infarction",0.237546,0.039431,0.723023,I63,I64,I67,0.66,0.17,0.06,128692,768,764,700,5291,3532,1985,15461,17206,13388,878,719,410,7424,6301,4774,17378,16626,15087
177,Stroke,I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction","Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",0.490635,0.007325,0.50204,I65,I77,I67,0.75,0.09,0.06,15694,,68,53,598,437,224,1457,1327,1238,,50,52,870,836,679,2629,2726,2450
178,Stroke,I67.1 I67.9,"Cerebral aneurysm, nonruptured, Cerebrovascular disease, unspecified","Cerebral aneurysm, nonruptured, Cerebrovascular disease, unspecified",0.670668,0.037267,0.292065,I67,I64,I69,0.34,0.24,0.05,31006,572,671,846,2303,1814,1103,2941,2705,2550,497,412,335,1799,1781,1527,3029,3055,3066
179,Stroke,I69,Sequelae of cerebrovascular disease,Sequelae of cerebrovascular disease,0.888396,0.032736,0.078868,I69,G93,T90,0.63,0.07,0.06,6869,86,101,102,431,328,157,636,548,546,125,63,,550,392,312,886,801,805
180,Stroke,S06,Intracranial injury,Intracranial injury,0.110452,0.002471,0.887077,I62,S06,D18,0.61,0.17,0.15,3173,,,,,,,246,268,246,,,,110,90,103,662,677,771
181,(Peripheral) arterial disease,I70-I79,"Diseases of arteries, arterioles and capillaries","Diseases of arteries, arterioles and capillaries",0.68072,0.048795,0.270485,I73,I71,I77,0.40,0.23,0.11,182418,1612,1784,1824,8852,6063,3335,16078,16197,14309,1593,1324,1000,13340,11760,8786,26095,26428,22038
182,Varicose veins,I83,Varicose veins of lower extremities,Varicose veins of lower extremities,0.840856,0.148328,0.010815,I83,I87,R60,0.76,0.16,0.05,204165,10980,15657,16886,27395,23552,14133,15119,12078,12859,3614,4325,3168,8063,9624,8294,5347,6449,6622
183,Other vascular disorders,I80,Phlebitis and thrombophlebitis,Phlebitis and thrombophlebitis,0.9531,0.019142,0.027758,I80,I87,R60,0.35,0.28,0.22,104496,2745,3402,3837,8065,6672,4086,10705,10170,8639,1650,1666,1164,6006,6250,5521,8096,8086,7736
184,Other vascular disorders,I82,Other venous embolism and thrombosis,Other venous embolism and thrombosis,0.906342,0.02552,0.068138,I80,I82,I81,0.53,0.41,0.04,5947,256,372,402,437,391,286,377,314,309,168,165,132,408,451,499,281,293,406
185,Other vascular disorders,I87,Other disorders of veins,Other disorders of veins,0.856664,0.075754,0.067582,I87,I89,I80,0.38,0.13,0.12,7056,231,296,312,542,437,287,591,573,480,198,170,106,488,512,385,495,500,453
186,Other vascular disorders,I89,Oth noninfective disorders of lymphatic vessels and nodes,Oth noninfective disorders of lymphatic vessels and nodes,0.940499,0.009981,0.04952,I89,R60,Q82,0.76,0.20,0.03,1857,64,106,121,189,156,115,170,181,162,,,,103,94,69,104,110,113
188,Other vascular disorders,I99,Other and unspecified disorders of circulatory system,Other and unspecified disorders of circulatory system,0.881955,0.04384,0.074206,I99,I51,I72,0.36,0.34,0.06,11582,140,181,225,610,526,344,1107,1115,935,183,194,144,660,784,801,1133,1172,1328
189,Upper respiratory tract and middle ear disorders,H60-H62,Diseases of external ear,Diseases of external ear,0.963381,0.02864,0.007978,H61,H60,T16,0.59,0.29,0.04,120782,3194,3777,4644,8707,7145,4559,9383,9556,8393,3834,3684,3406,6897,7647,7949,8516,9240,10251
190,Upper respiratory tract and middle ear disorders,H65-H75,Diseases of middle ear and mastoid,Diseases of middle ear and mastoid,0.707533,0.262003,0.030464,H66,H69,H65,0.51,0.16,0.14,141520,5977,7992,10425,12299,10201,6692,7654,6736,6449,6820,6987,6405,8256,9461,9158,6088,6866,7054
191,Upper respiratory tract and middle ear disorders,J00-J06,Acute upper respiratory infections,Acute upper respiratory infections,0.344313,0.467768,0.187919,J35,J03,J36,0.86,0.07,0.04,38578,4017,5413,7594,1454,1261,842,466,382,387,4104,4160,3943,1204,1188,970,320,425,448
192,Upper respiratory tract and middle ear disorders,J32,Chronic sinusitis,Chronic sinusitis,0.807952,0.109053,0.082995,J32,J33,J01,0.81,0.10,0.06,148970,6526,8356,10978,13205,11307,7634,6701,5249,5794,6187,7056,6358,9258,11406,12447,5641,6757,8110
193,Upper respiratory tract and middle ear disorders,J34,Other and unspecified disorders of nose and nasal sinuses,Other and unspecified disorders of nose and nasal sinuses,0.535768,0.243829,0.220404,J34,S03,S00,0.95,0.02,0.01,38061,1795,1952,2364,2208,1835,1175,690,595,583,4278,3786,3265,3195,3577,3541,947,1059,1216
194,Upper respiratory tract and middle ear disorders,J39.0 J39.2 J39.9,"Retropharyngeal and parapharyngeal abscess, Other diseases of pharynx, Disease of upper respiratory tract, unspecified","Retropharyngeal and parapharyngeal abscess, Other diseases of pharynx, Disease of upper respiratory tract, unspecified",0.497547,0.024207,0.478247,J39,I88,L02,0.38,0.26,0.26,1727,75,98,118,98,87,56,55,63,54,167,144,115,129,130,101,73,80,84
195,Upper respiratory tract and middle ear disorders,M95.0,Acquired deformity of nose,Acquired deformity of nose,0.591912,0.165493,0.242595,M95,J34,M96,0.74,0.17,0.03,7290,759,630,694,428,338,237,82,60,72,1093,680,587,513,453,404,81,90,89
196,Lower respiratory tract disorders,J09-J18,Influenza and pneumonia,Influenza and pneumonia,0.309501,0.022735,0.667764,J18,J15,J69,0.87,0.09,0.01,152216,2040,2350,2951,7381,5315,3001,15545,15820,11838,2557,2162,1636,8239,6736,4959,23724,20178,15784
197,Lower respiratory tract disorders,J20-J22,Other acute lower respiratory infections,Other acute lower respiratory infections,0.583206,0.025205,0.391589,J20,J21,J40,0.90,0.04,0.03,20081,510,575,618,1487,1030,507,2206,2246,1595,326,287,214,1096,932,596,2428,2047,1381
198,Lower respiratory tract disorders,J45 R05 J98,"Asthma, Cough, Other respiratory disorders","Asthma, Cough, Other respiratory disorders",0.893245,0.021079,0.085676,J45,J98,R05,0.87,0.06,0.05,104851,5191,5815,7368,10468,8794,5958,6918,5985,5932,4013,3688,3009,6439,6874,6650,3806,3922,4021
199,Lower respiratory tract disorders,J44 J43,"Other chronic obstructive pulmonary disease, Emphysema","Other chronic obstructive pulmonary disease, Emphysema",0.694821,0.019693,0.285486,J44,J43,J41,0.91,0.06,0.01,95019,612,391,200,7968,4670,1827,8924,8606,7772,828,388,179,8509,5548,2573,15481,12619,7924
200,Lower respiratory tract disorders,J47,Bronchiectasis,Bronchiectasis,0.804389,0.086514,0.109097,J47,R05,R06,0.98,0.01,0.00,8603,80,91,114,569,510,237,1034,907,917,107,76,60,434,413,305,927,905,917
201,Lower respiratory tract disorders,J80-J84,Other respiratory diseases principally affecting the interstitium,Other respiratory diseases principally affecting the interstitium,0.651559,0.126543,0.221898,J84,M35,J70,0.84,0.07,0.02,18282,258,240,272,1070,878,523,1694,1428,1377,320,224,158,1081,1086,716,2314,2508,2135
203,Lower respiratory tract disorders,J86,Pyothorax,Pyothorax,0.658995,0.005754,0.335251,J86,J90,Z76,0.70,0.22,0.01,1649,,,,114,89,,118,80,103,72,,,196,136,122,194,226,199
204,Lower respiratory tract disorders,J93,Pneumothorax and air leak,Pneumothorax and air leak,0.387895,0.008945,0.60316,J93,S27,T81,0.99,0.00,0.00,10036,215,255,301,448,383,225,491,492,430,964,682,451,690,618,478,1000,1019,894
205,Lower respiratory tract disorders,J94 J90 R09,"Other pleural conditions, Pleural effusion, not elsewhere classified, Oth symptoms and signs involving the circ and resp sys","Other pleural conditions, Pleural effusion, not elsewhere classified, Oth symptoms and signs involving the circ and resp sys",0.611287,0.045927,0.342786,J94,J90,R09,0.49,0.33,0.06,32618,263,312,394,1381,1180,791,3029,2645,2646,447,306,272,1741,1714,1282,4744,5285,4186
206,Lower respiratory tract disorders,J95-J99,Other diseases of the respiratory system,Other diseases of the respiratory system,0.538161,0.022334,0.439505,J98,J06,J39,0.39,0.17,0.08,12793,460,480,551,736,539,340,1238,1198,867,420,301,266,672,523,430,1457,1252,1063
207,"Mouth, esophagus, stomach and duodenum (peptic ulcers)",K00-K14,Diseases of oral cavity and salivary glands,Diseases of oral cavity and salivary glands,0.901949,0.077945,0.020107,K13,K11,Q38,0.33,0.23,0.16,36095,1395,1446,2015,3603,3055,1878,2483,1998,2105,1651,1365,1271,2313,2231,2285,1559,1691,1751
208,"Mouth, esophagus, stomach and duodenum (peptic ulcers)",K21 K30 K29,"Gastro-esophageal reflux disease, Functional dyspepsia, Gastritis and duodenitis","Gastro-esophageal reflux disease, Functional dyspepsia, Gastritis and duodenitis",0.607964,0.31981,0.072226,K21,K30,K29,0.33,0.18,0.12,184597,7896,7041,7394,20484,15500,9170,14618,11870,11717,7497,5420,4361,12431,10995,9763,9511,9665,9264
209,"Mouth, esophagus, stomach and duodenum (peptic ulcers)",K22 R13 T18,"Other diseases of esophagus, Aphagia and dysphagia, Foreign body in alimentary tract","Other diseases of esophagus, Aphagia and dysphagia, Foreign body in alimentary tract",0.539511,0.392698,0.067791,K22,R13,T18,0.72,0.13,0.05,38121,552,535,537,2457,1992,1130,3068,2583,2506,848,840,750,3077,3260,3081,3402,3845,3658
210,"Mouth, esophagus, stomach and duodenum (peptic ulcers)",K92,Other diseases of digestive system,Other diseases of digestive system,0.233165,0.099928,0.666907,K92,K28,K31,0.89,0.03,0.01,11293,153,111,104,382,298,153,1068,1117,892,411,162,96,877,564,380,1718,1482,1325
211,Acute abdomen (appendicitis),K35-K38,Diseases of appendix,Diseases of appendix,0.071653,0.01251,0.915838,K35,K37,K36,0.50,0.47,0.01,36106,2008,2576,3939,2612,2439,1709,1075,861,956,2594,2825,2735,1931,2373,2336,889,1072,1176
212,Acute abdomen (appendicitis),K55-K63,Other diseases of intestines,Other diseases of intestines,0.224963,0.038291,0.736746,K56,K55,K91,0.84,0.08,0.03,25408,450,415,474,1491,1141,641,2920,2893,2495,317,279,171,1327,1088,876,3122,2769,2539
213,Acute abdomen (appendicitis),K65-K67,Diseases of peritoneum,Diseases of peritoneum,0.276493,0.014581,0.708926,K65,R10,K63,0.51,0.35,0.05,11057,402,385,438,756,612,331,969,874,801,332,222,205,715,614,502,1055,995,849
214,Acquired abdominal wall hernias,K40-K46,Hernia,Hernia,0.307087,0.479087,0.213826,K40,K43,K42,0.56,0.15,0.14,178722,3083,3363,3967,6298,4508,2589,5266,4641,4259,6883,7616,5953,18310,21692,19299,17868,20537,22590
215,Acquired abdominal wall hernias,N43,Hydrocele and spermatocele,Hydrocele and spermatocele,0.691935,0.263413,0.044652,K40,N43,P83,0.86,0.12,0.01,1141,,,,,,,,,,99,102,65,134,161,139,152,145,144
216,Inflammatory bowel diseases,K50,Crohn's disease [regional enteritis],Crohn's disease [regional enteritis],0.364241,0.373924,0.261835,K50,Z76,R10,0.97,0.01,0.00,11812,827,1016,1209,1029,896,538,405,295,316,835,735,630,680,785,703,273,323,317
217,Inflammatory bowel diseases,K51,Ulcerative colitis,Ulcerative colitis,0.449411,0.420586,0.130004,K51,K52,Z76,0.91,0.07,0.01,22282,852,1304,1866,1748,1693,1211,860,762,795,1059,1240,1248,1271,1717,1808,803,1003,1042
218,Other intestinal diseases,A00-A09,Intestinal infectious diseases,Intestinal infectious diseases,0.323887,0.029571,0.646542,A09,A08,A04,0.71,0.12,0.07,20282,649,652,807,1300,828,461,2148,2537,1642,679,543,449,1033,778,693,1970,1724,1389
219,Other intestinal diseases,I84,Haemorrhoids,Haemorrhoids,0.8327,0.13523,0.03207,K64,K62,L98,0.90,0.03,0.02,111567,5506,6722,9417,9204,8340,5897,4675,3767,3900,6023,4982,4473,8289,8651,9459,3438,3985,4839
220,Other intestinal diseases,K52,Other and unsp noninfective gastroenteritis and colitis,Other and unsp noninfective gastroenteritis and colitis,0.439679,0.232693,0.327628,A09,K52,A04,0.46,0.31,0.06,30095,1180,1347,1516,2373,1757,1033,2656,2651,2316,1235,996,847,1648,1586,1236,1948,1924,1846
221,Other intestinal diseases,K61,Abscess of anal and rectal regions,Abscess of anal and rectal regions,0.367687,0.154836,0.477476,K61,K60,Z76,0.99,0.00,0.00,19595,693,819,1006,881,704,484,295,229,238,2490,1902,1385,2438,2164,1732,724,748,663
222,Other intestinal diseases,K58 K57 K59,"Irritable bowel syndrome, Diverticular disease of intestine, Other functional intestinal disorders","Irritable bowel syndrome, Diverticular disease of intestine, Other functional intestinal disorders",0.502972,0.354251,0.142777,K58,K59,K57,0.30,0.20,0.19,297479,12460,13736,16758,27522,22382,14334,24058,20836,20924,10311,8762,7765,16677,17169,17097,14415,15467,16806
223,Other intestinal diseases,R10,Abdominal and pelvic pain,Abdominal and pelvic pain,0.538837,0.355716,0.105447,R10,K31,K58,0.98,0.01,0.00,50710,2710,2660,2856,5562,4317,2627,4102,3349,3303,1602,1219,1028,3186,2688,2505,2450,2297,2249
224,Other intestinal diseases,K90,Intestinal malabsorption,Intestinal malabsorption,0.81826,0.161847,0.019893,K90,E66,K91,0.73,0.24,0.01,10308,1073,1137,1197,1352,1066,684,314,233,254,385,286,270,542,499,428,169,199,220
226,Other intestinal diseases,K92,Other diseases of digestive system,Other diseases of digestive system,0.436796,0.292618,0.270586,K92,D50,R10,0.52,0.12,0.11,148650,5102,5310,5798,11020,8405,5250,12893,12431,10914,4105,3271,2645,9162,7912,7192,13097,12420,11723
228,Other intestinal diseases,L05,Pilonidal cyst and sinus,Pilonidal cyst and sinus,0.395979,0.383936,0.220085,L05,K44,Z76,0.99,0.00,0.00,10940,418,488,552,186,164,106,54,,52,2576,2181,1673,784,723,540,139,172,132
229,Liver diseases,K70-K77,Diseases of liver,Diseases of liver,0.621401,0.096338,0.282261,K76,K74,K70,0.25,0.24,0.16,25622,595,579,704,2294,1726,1002,1826,1412,1420,968,619,499,2852,1950,1538,2022,1886,1730
