disease_id,disease_group,icd_code,disease,icd_name,share_outpatient,share_oneday,share_inpatient,top1_code,top2_code,top3_code,top1_share,top2_share,top3_share,n_total,n_Female_25-44_Low,n_Female_25-44_Med,n_Female_25-44_High,n_Female_45-64_Low,n_Female_45-64_Med,n_Female_45-64_High,n_Female_65+_Low,n_Female_65+_Med,n_Female_65+_High,n_Male_25-44_Low,n_Male_25-44_Med,n_Male_25-44_High,n_Male_45-64_Low,n_Male_45-64_Med,n_Male_45-64_High,n_Male_65+_Low,n_Male_65+_Med,n_Male_65+_High
40,Neoplasms of lymphatic and hematopoietic tissue,D45,Polycythemia vera,Polycythemia vera,0.822096,0.133144,0.044759,D45,D47,D75,0.55,0.40,0.03,5011,73,80,105,384,279,202,505,452,490,93,85,72,336,323,326,388,379,439
41,Neoplasms of lymphatic and hematopoietic tissue,D46,Myelodysplastic syndromes,Myelodysplastic syndromes,0.478791,0.228576,0.292633,D46,D75,D64,0.93,0.02,0.01,4051,,,,100,57,,459,468,357,,,,130,115,106,720,761,778
42,Neoplasms of lymphatic and hematopoietic tissue,D47,"Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss","Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss",0.839577,0.093253,0.06717,D47,C96,D75,0.88,0.05,0.02,6991,,,,397,299,184,780,702,752,,,,342,371,346,862,905,1051
43,Skin neoplasms,C43-C44,Melanoma and other malignant neoplasms of skin,Melanoma and other malignant neoplasms of skin,0.9151,0.064719,0.020181,C44,C43,M80,0.77,0.11,0.05,251426,1823,3227,5376,15029,15155,11568,25814,25697,23987,1381,2105,2734,7448,11916,17136,20988,26455,33587
44,Skin neoplasms,D04,Carcinoma in situ of skin,Carcinoma in situ of skin,0.974897,0.024641,0.000463,L57,D04,L85,0.73,0.16,0.03,223444,1021,1716,2851,14112,14330,10789,27344,25167,27223,762,1139,1483,5368,8946,14660,15321,20624,30588
45,Skin neoplasms,D22,Melanocytic nevi,Melanocytic nevi,0.999578,0.000383,0.00004,D22,I78,Q82,0.93,0.04,0.01,176021,10596,18490,35068,12623,14005,13299,3208,2688,3354,7502,9178,12562,4743,7531,12743,1896,2513,4022
46,Skin neoplasms,D23,Other benign neoplasms of skin,Other benign neoplasms of skin,0.918833,0.072419,0.008749,L82,L72,D17,0.18,0.17,0.15,349153,11472,14558,20114,30667,28407,21218,19316,17136,18512,14483,14326,13262,20921,25120,29068,13871,16282,20420
47,Skin neoplasms,L80-L99,Other disorders of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,0.997681,0.001525,0.000794,I78,D18,L98,0.26,0.25,0.18,25958,1084,1527,2394,2509,2419,1966,1455,1287,1392,748,830,982,1066,1319,1664,887,1088,1341
48,Other neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx.","Malignant neoplasms of lip, oral cavity and pharynx.",0.564925,0.122471,0.312604,C10,C06,C13,0.21,0.19,0.11,7892,,,,443,316,195,601,519,565,86,65,58,892,638,520,1157,972,865
49,Other neoplasms,C40-C41,Malignant neoplasms of bone and articular cartilage,Malignant neoplasms of bone and articular cartilage,0.706684,0.066274,0.227043,C41,C40,D48,0.37,0.24,0.10,4641,112,124,137,386,343,234,336,224,304,105,107,109,256,346,337,323,433,425
