sex,age_group,disease_id_from,disease_id_to,link_strength
Female,25-44,223,86,0.0022280925369779
Female,25-44,223,129,0.0045593021647908
Female,25-44,223,134,0.0046424208698636
Female,25-44,223,164,0.0135628645024711
Female,25-44,223,176,0.0044871467143157
Female,25-44,223,208,0.0153859286472406
Female,25-44,223,209,0.0045482124174621
Female,25-44,223,224,0.0043759462948392
Female,25-44,223,273,0.0083263944825811
Female,25-44,223,285,0.0062506904591507
Female,25-44,223,288,0.0239740920000556
Female,25-44,223,301,0.0098313570615386
Female,25-44,223,323,0.0043824579929083
Female,25-44,223,341,0.0022264712227397
Female,25-44,226,2,0.0024692439154221
Female,25-44,226,108,0.0057552254624638
Female,25-44,226,127,0.0034015374434693
Female,25-44,226,220,0.0033812852289975
Female,25-44,226,222,0.0161858198342931
Female,25-44,226,223,0.0058473443619127
Female,25-44,226,233,0.0034032095208509
Female,25-44,226,254,0.0057372323085166
Female,25-44,226,261,0.0023314543214165
Female,25-44,226,299,0.0094878435737413
Female,25-44,226,366,0.0023757260425234
Female,25-44,230,164,0.007706433424548
Female,25-44,230,208,0.0053914587552448
Female,25-44,230,214,0.0045695240758728
Female,25-44,230,220,0.0031292184739248
Female,25-44,230,223,0.0078964129582355
Female,25-44,230,229,0.0018674473616292
Female,25-44,230,239,0.005186688766938
Female,25-44,230,259,0.0110893822380214
Female,25-44,230,273,0.0032073143329189
Female,25-44,230,346,0.0019047113314237
Female,25-44,239,8,0.001630775536941
Female,25-44,239,72,0.0026238953572499
Female,25-44,239,91,0.0031422927606497
Female,25-44,239,108,0.002894959445171
Female,25-44,239,137,0.0029012534884198
Female,25-44,239,196,0.0035892488804763
Female,25-44,239,226,0.0044154036595065
Female,25-44,239,232,0.0017232320747716
Female,25-44,239,255,0.0081700453592064
Female,25-44,239,266,0.0078664631469023
Female,25-44,239,284,0.0063200800718774
Female,25-44,239,299,0.005824635144256
Female,25-44,253,44,0.0026027398542993
Female,25-44,253,110,0.0027294003869916
Female,25-44,253,132,0.0024347006930011
Female,25-44,253,181,0.0025057387982573
Female,25-44,253,219,0.0048422819956111
Female,25-44,253,222,0.0091512521507221
Female,25-44,253,272,0.0033371837936992
Female,25-44,253,324,0.0051030399706215
Female,25-44,254,13,0.0070688703437246
Female,25-44,254,111,0.0025519483586016
Female,25-44,254,142,0.0026499213135445
Female,25-44,254,223,0.0072444228144721
Female,25-44,254,226,0.0156677858643021
Female,25-44,254,233,0.0038343005281767
Female,25-44,254,239,0.0088644158046907
Female,25-44,255,101,0.0020759910909071
Female,25-44,255,121,0.0040719086038454
Female,25-44,255,239,0.0151426518419513
Female,25-44,255,265,0.0042917314104985
Female,25-44,255,332,0.0047354688971546
Female,25-44,256,17,0.0023719844559024
Female,25-44,256,35,0.001601626258704
Female,25-44,256,108,0.0036386706911061
Female,25-44,256,132,0.0028908884326959
Female,25-44,256,148,0.0079250067088833
Female,25-44,256,171,0.0015627727590348
Female,25-44,256,198,0.005497366549012
Female,25-44,256,213,0.0025240850683503
Female,25-44,256,222,0.0086455900001357
Female,25-44,256,254,0.0114758128181552
Female,25-44,258,193,0.0049204833777077
Female,25-44,258,224,0.003428753341327
Female,25-44,258,339,0.0047535544589204
Female,25-44,258,239255,0.003500031265965
Female,25-44,259,37,0.0018737647970408
Female,25-44,259,93,0.0017631018245708
Female,25-44,259,108,0.0012225245404693
Female,25-44,259,144,0.0032141506931433
Female,25-44,259,145,0.0045218653066591
Female,25-44,259,168,0.0033199581721012
Female,25-44,259,208,0.0031153156458012
Female,25-44,259,213,0.000546925086405
Female,25-44,259,219,0.0030036978474252
Female,25-44,259,222,0.0043530643210087
Female,25-44,259,230,0.0030115067820862
Female,25-44,259,239,0.0029214717545029
Female,25-44,259,268,0.0015145735706853
Female,25-44,259,288,0.0054446339177699
Female,25-44,263,8,0.0031697460369872
Female,25-44,263,126,0.0072586018857996
Female,25-44,263,265,0.0045714791077624
Female,25-44,263,266,0.0129968489514076
Female,25-44,263,295,0.0045497247731206
Female,25-44,263,332,0.0090114483488098
Female,25-44,266,110,0.0027195310936011
Female,25-44,266,213,0.0019398235446073
Female,25-44,266,263,0.0050253062907722
Female,25-44,266,268,0.0035409936309527
Female,25-44,266,274,0.0052147588368628
Female,25-44,266,279,0.0043169379959762
Female,25-44,266,326,0.0018834703376575
Female,25-44,272,11,0.0045128940882192
Female,25-44,272,76,0.007343756550535
Female,25-44,272,156,0.0022302500679302
Female,25-44,272,213,0.0021483751230263
Female,25-44,272,228,0.0045773989491464
Female,25-44,272,270,0.0066718466875228
Female,25-44,272,358,0.0081211318692655
Female,25-44,272,364,0.0133788098178327
Female,25-44,273,1,0.0018616692509577
Female,25-44,273,140,0.008732885041694
Female,25-44,273,151,0.0036923949996423
Female,25-44,273,196,0.0070007806296945
Female,25-44,273,252,0.0054420043378007
Female,25-44,273,274,0.006917692503125
Female,25-44,273,277,0.0067901682004422
Female,25-44,273,285,0.0050520118968311
Female,25-44,273,295,0.0134614296550657
Female,25-44,273,324,0.0089014498090441
Female,25-44,274,1,0.0058847298451646
Female,25-44,274,67,0.0018536587995328
Female,25-44,274,77,0.0067004351151309
Female,25-44,274,266,0.0097436560850836
Female,25-44,274,283,0.0038771402664575
Female,25-44,274,287,0.0050220287361965
Female,25-44,274,364,0.0125186803679652
Female,25-44,275,11,0.0011353241118873
Female,25-44,275,207,0.0027536593584934
Female,25-44,275,266,0.0049957255340059
Female,25-44,276,13,0.0063874524256357
Female,25-44,276,91,0.0035361509509242
Female,25-44,276,120,0.0036302968203128
Female,25-44,276,124,0.0064116198143025
Female,25-44,276,196,0.0041738166176834
Female,25-44,276,295,0.0034555054114984
Female,25-44,277,65,0.00175842474029
Female,25-44,277,206,0.0035655708368786
Female,25-44,277,241,0.0047477657605352
Female,25-44,277,268,0.005019645338339
Female,25-44,277,366,0.0035022982944975
Female,25-44,284,1,0.0021783757321768
Female,25-44,284,86,0.0022292233411884
Female,25-44,284,101,0.0043295307392062
Female,25-44,284,145,0.0131019645859054
Female,25-44,284,283,0.0021711934879402
Female,25-44,284,287,0.0055122633946596
Female,25-44,284,299,0.0118396073273239
Female,25-44,284,301,0.011415095209681
Female,25-44,284,303,0.0221926767754213
Female,25-44,284,287288,0.0045347010509728
Female,25-44,287,1,0.0045558938851995
Female,25-44,287,46,0.0157689722859095
Female,25-44,287,67,0.0021955197260235
Female,25-44,287,124,0.0101828016882851
Female,25-44,287,128,0.0043805356732739
Female,25-44,287,148,0.0137404762503667
Female,25-44,287,178,0.0043972309240058
Female,25-44,287,198,0.0092468542222735
Female,25-44,287,273,0.0059801867277859
Female,25-44,287,284,0.0081517098688581
Female,25-44,287,288,0.0400283194056758
Female,25-44,287,303,0.0134836462432476
Female,25-44,287,326,0.0045039580633308
Female,25-44,288,76,0.003306245400694
Female,25-44,288,93,0.0017785007404652
Female,25-44,288,111,0.0015638344337177
Female,25-44,288,137,0.002089134251279
Female,25-44,288,144,0.0043318679807201
Female,25-44,288,146,0.0035936275348236
Female,25-44,288,148,0.0077547796285971
Female,25-44,288,150,0.0023698050982375
Female,25-44,288,156,0.0008016145352578
Female,25-44,288,208,0.0050249055808085
Female,25-44,288,222,0.0067639558654839
Female,25-44,288,239,0.0053660611025175
Female,25-44,288,259,0.0101277235227436
Female,25-44,288,270,0.0014524187871767
Female,25-44,288,284,0.0022555672685205
Female,25-44,288,287,0.0069649456356845
Female,25-44,288,299,0.0052399468963862
Female,25-44,288,301,0.006627235892384
Female,25-44,288,303,0.0120177590056187
Female,25-44,288,306,0.0012696566031565
Female,25-44,288,317,0.0022889814301233
Female,25-44,288,362,0.0015495332888913
Female,25-44,288,364,0.0052184851897323
Female,25-44,292,44,0.0033837784935005
Female,25-44,292,221,0.0016847722366901
Female,25-44,292,241,0.0030896258995153
Female,25-44,292,285,0.008258047104751
Female,25-44,292,293,0.0071966995568185
Female,25-44,292,300,0.0063977629892067
Female,25-44,292,317,0.0041745929855085
Female,25-44,292,346,0.0023633658180202
Female,25-44,292,355,0.00226469546482
Female,25-44,292,363,0.0033689150484265
Female,25-44,293,150,0.0041619564605213
Female,25-44,293,221,0.0028097415896448
Female,25-44,293,285,0.0099187502470871
Female,25-44,293,288,0.0127582582249236
Female,25-44,293,300,0.0142997376435207
Female,25-44,293,301,0.0073342652350015
Female,25-44,293,303,0.0134727908554066
Female,25-44,293,312,0.0028965163917539
Female,25-44,293,314,0.0029480161027124
Female,25-44,293,317,0.0049343490629393
Female,25-44,293,338,0.0039914749978668
Female,25-44,299,110,0.00245676917529
Female,25-44,299,176,0.0025611316392384
Female,25-44,299,206,0.0017513469612904
Female,25-44,299,218,0.0017502414686289
Female,25-44,299,259,0.0159875010929068
Female,25-44,299,271,0.0017830689186808
Female,25-44,299,276,0.0048822537424545
Female,25-44,299,279,0.0057473526855797
Female,25-44,299,288,0.0294835373538312
Female,25-44,299,301,0.0058414209151099
Female,25-44,299,303,0.0100038756815035
Female,25-44,299,312,0.0016610181867448
Female,25-44,300,20,0.0042909327685861
Female,25-44,300,76,0.0063380267871178
Female,25-44,300,83,0.0022572751025093
Female,25-44,300,125,0.0022617824903486
Female,25-44,300,148,0.0217854695023477
Female,25-44,300,150,0.004323343980741
Female,25-44,300,223,0.0046078195432176
Female,25-44,300,226,0.0053733793935046
Female,25-44,300,255,0.0077118176618586
Female,25-44,300,260,0.0022135948513712
Female,25-44,300,270,0.0031839583704868
Female,25-44,300,279,0.0038974141888298
Female,25-44,300,297,0.00526406126508
Female,25-44,300,299,0.0082976627517085
Female,25-44,300,317,0.0097085452673922
Female,25-44,300,355,0.0032555797672665
Female,25-44,301,29,0.01319560534017
Female,25-44,301,46,0.0098687668014182
Female,25-44,301,47,0.0039068586515829
Female,25-44,301,91,0.0071356768043202
Female,25-44,301,111,0.0026721374837865
Female,25-44,301,142,0.0027880578229389
Female,25-44,301,145,0.0110424715266227
Female,25-44,301,146,0.0079628678411949
Female,25-44,301,153,0.004153505826822
Female,25-44,301,164,0.0122705532707717
Female,25-44,301,197,0.0028206277404997
Female,25-44,301,224,0.0026775521320925
Female,25-44,301,226,0.007200273292831
Female,25-44,301,239,0.0075161789135619
Female,25-44,301,256,0.0088283917269142
Female,25-44,301,288,0.0211050932829825
Female,25-44,301,295,0.0055207484642635
Female,25-44,301,299,0.0078766264572939
Female,25-44,301,312,0.0027961441695603
Female,25-44,303,47,0.0026054882843673
Female,25-44,303,101,0.0012796250323469
Female,25-44,303,117,0.0035559209782921
Female,25-44,303,142,0.0013602346715385
Female,25-44,303,146,0.0049663248332184
Female,25-44,303,148,0.0061980271666507
Female,25-44,303,164,0.0100653007164684
Female,25-44,303,181,0.0041089859618034
Female,25-44,303,223,0.0034162095394254
Female,25-44,303,280,0.0019662780291617
Female,25-44,303,284,0.0041783764473758
Female,25-44,303,287,0.0048534013056631
Female,25-44,303,288,0.0134825618804476
Female,25-44,303,293,0.0045231506772243
Female,25-44,303,295,0.0020708806886842
Female,25-44,303,297,0.0024020991830676
Female,25-44,303,299,0.0081711718672861
Female,25-44,303,300,0.0068180071685222
Female,25-44,303,301,0.0056170622882075
Female,25-44,303,317,0.0041803696456775
Female,25-44,303,340,0.0017979382410085
Female,25-44,303,364,0.0072970602779334
Female,25-44,305,195,0.004139576705884
Female,25-44,305,300,0.0146078644114275
Female,25-44,305,301,0.0091069146048146
Female,25-44,305,356,0.005785154201227
Female,25-44,317,3,0.0032828496326051
Female,25-44,317,29,0.0163739648024546
Female,25-44,317,43,0.0061532792693229
Female,25-44,317,61,0.0034392798828869
Female,25-44,317,76,0.009121244468474
Female,25-44,317,134,0.0017343461358187
Female,25-44,317,229,0.0034554833903306
Female,25-44,317,230,0.0131535915343322
Female,25-44,317,299,0.0097272227291318
Female,25-44,317,300,0.0100064954862473
Female,25-44,317,303,0.0150951665869784
Female,25-44,324,29,0.0104740663788891
Female,25-44,324,93,0.002888206707912
Female,25-44,324,117,0.004968771844585
Female,25-44,324,127,0.0030134473469152
Female,25-44,324,146,0.0058862311503706
Female,25-44,324,190,0.0068609276004032
Female,25-44,324,192,0.0079031592844935
Female,25-44,324,193,0.0080860143770412
Female,25-44,324,196,0.0043754743698536
Female,25-44,324,198,0.0086340637350841
Female,25-44,324,323,0.0050592120887292
