disease_group,disease_id,disease,outcome,income,sex,age_group,rel_year,estimate,ci_low,ci_high,p_value,n
Infectious diseases,1,Tuberculosis,78,High,Female,45-64,5,.0567788779735565,-.1688924,.28245014,.62191659,206
Infectious diseases,1,Tuberculosis,78,High,Female,45-64,-1,-.0176912639290094,-.054329231,.018946702,.34393477,206
Infectious diseases,1,Tuberculosis,78,High,Female,45-64,-2,0,0,0,,206
Infectious diseases,1,Tuberculosis,78,High,Female,45-64,-3,.0029314109124243,-.023480514,.029343337,.82779002,206
Infectious diseases,1,Tuberculosis,78,High,Female,45-64,-4,-.0038284386973828,-.021024879,.013368001,.66257972,206
Infectious diseases,1,Tuberculosis,78,High,Female,45-64,-5,0,0,0,,206
Infectious diseases,1,Tuberculosis,78,Low,Male,25-44,0,.0028428407385945,-.1013913,.10707698,.95736837,225
Infectious diseases,1,Tuberculosis,78,Low,Male,25-44,1,.0100712673738599,-.1298026,.14994512,.88777131,225
Infectious diseases,1,Tuberculosis,78,Low,Male,25-44,2,.0329914279282093,-.14447154,.2104544,.71557748,225
Infectious diseases,1,Tuberculosis,78,Low,Male,25-44,3,.0498331934213638,-.1660983,.26576468,.65102869,225
Infectious diseases,1,Tuberculosis,78,Low,Male,25-44,4,.0933650508522987,-.1662309,.352961,.48085734,225
Infectious diseases,1,Tuberculosis,78,Low,Male,25-44,5,.1494127511978149,-.15274087,.45156637,.33244258,225
Infectious diseases,1,Tuberculosis,78,Low,Male,25-44,-1,.0121364332735538,-.06183691,.086109772,.7477805,225
Infectious diseases,1,Tuberculosis,78,Low,Male,25-44,-2,0,0,0,,225
Infectious diseases,1,Tuberculosis,78,Low,Male,25-44,-3,.0348646156489849,-.016607014,.086336248,.18430443,225
Infectious diseases,1,Tuberculosis,78,Low,Male,25-44,-4,.0201854612678289,-.032464132,.072835051,.45238224,225
Infectious diseases,1,Tuberculosis,78,Low,Male,25-44,-5,0,0,0,,225
Infectious diseases,1,Tuberculosis,78,Medium,Male,25-44,0,.0211299136281013,-.055878524,.098138347,.5907197,198
Infectious diseases,1,Tuberculosis,78,Medium,Male,25-44,1,.0253089256584644,-.094665535,.14528339,.67926443,198
Infectious diseases,1,Tuberculosis,78,Medium,Male,25-44,2,.0104292575269938,-.15292059,.1737791,.90041393,198
Infectious diseases,1,Tuberculosis,78,Medium,Male,25-44,3,-.0169989913702011,-.22822486,.19422688,.87466449,198
Infectious diseases,1,Tuberculosis,78,Medium,Male,25-44,4,-.0197971481829882,-.27509359,.23549929,.87919509,198
Infectious diseases,1,Tuberculosis,78,Medium,Male,25-44,5,-.0157131478190422,-.31454542,.28311914,.91791505,198
Infectious diseases,1,Tuberculosis,78,Medium,Male,25-44,-1,.0088611533865333,-.032645147,.050367456,.6756261,198
Infectious diseases,1,Tuberculosis,78,Medium,Male,25-44,-2,0,0,0,,198
Infectious diseases,1,Tuberculosis,78,Medium,Male,25-44,-3,.0273371338844299,-.0046091252,.059283394,.093500219,198
Infectious diseases,1,Tuberculosis,78,Medium,Male,25-44,-4,.0079573774710298,-.020742394,.036657151,.58683032,198
Infectious diseases,1,Tuberculosis,78,Medium,Male,25-44,-5,0,0,0,,198
Infectious diseases,1,Tuberculosis,78,High,Male,25-44,0,-.0236884262412786,-.0848203,.037443448,.44755688,141
Infectious diseases,1,Tuberculosis,78,High,Male,25-44,1,-.0122428312897682,-.10068031,.076194651,.78613544,141
Infectious diseases,1,Tuberculosis,78,High,Male,25-44,2,-.0204814504832029,-.13511075,.094147846,.72618556,141
Infectious diseases,1,Tuberculosis,78,High,Male,25-44,3,-.0363873057067394,-.18395245,.11117784,.62887847,141
Infectious diseases,1,Tuberculosis,78,High,Male,25-44,4,-.0628384500741959,-.24155873,.11588184,.49073493,141
Infectious diseases,1,Tuberculosis,78,High,Male,25-44,5,-.0944832637906075,-.31284949,.12388296,.39640576,141
Infectious diseases,1,Tuberculosis,78,High,Male,25-44,-1,-.0197460930794477,-.061675321,.022183133,.35598651,141
Infectious diseases,1,Tuberculosis,78,High,Male,25-44,-2,0,0,0,,141
Infectious diseases,1,Tuberculosis,78,High,Male,25-44,-3,-.0021188722457737,-.014915636,.010677892,.74553353,141
Infectious diseases,1,Tuberculosis,78,High,Male,25-44,-4,-.0108641684055328,-.031817682,.010089345,.30951574,141
Infectious diseases,1,Tuberculosis,78,High,Male,25-44,-5,0,0,0,,141
Infectious diseases,1,Tuberculosis,78,Low,Male,45-64,0,-.0184767451137304,-.095450185,.058496695,.63801253,327
Infectious diseases,1,Tuberculosis,78,Low,Male,45-64,1,-.0419417917728424,-.14846404,.064580455,.44027716,327
Infectious diseases,1,Tuberculosis,78,Low,Male,45-64,2,-.1049259081482887,-.24380614,.03395433,.13865811,327
Infectious diseases,1,Tuberculosis,78,Low,Male,45-64,3,-.1075346320867538,-.28159255,.066523276,.2259312,327
Infectious diseases,1,Tuberculosis,78,Low,Male,45-64,4,-.0621114559471607,-.27395752,.14973462,.56552452,327
Infectious diseases,1,Tuberculosis,78,Low,Male,45-64,5,-.032678097486496,-.28379005,.21843387,.79867536,327
Infectious diseases,1,Tuberculosis,78,Low,Male,45-64,-1,.0072346488013864,-.03975131,.054220606,.76281184,327
Infectious diseases,1,Tuberculosis,78,Low,Male,45-64,-2,0,0,0,,327
Infectious diseases,1,Tuberculosis,78,Low,Male,45-64,-3,.0085431449115276,-.026952637,.044038925,.63711673,327
Infectious diseases,1,Tuberculosis,78,Low,Male,45-64,-4,.0166716314852238,-.02057928,.053922541,.3803795,327
Infectious diseases,1,Tuberculosis,78,Low,Male,45-64,-5,0,0,0,,327
Infectious diseases,1,Tuberculosis,78,Medium,Male,45-64,0,-.0393841043114662,-.096743427,.017975219,.17837451,306
Infectious diseases,1,Tuberculosis,78,Medium,Male,45-64,1,-.0545347109436989,-.13512377,.026054356,.18472904,306
Infectious diseases,1,Tuberculosis,78,Medium,Male,45-64,2,-.0972904190421104,-.20967831,.015097463,.089752212,306
Infectious diseases,1,Tuberculosis,78,Medium,Male,45-64,3,-.1074798926711082,-.25554866,.040588859,.15481691,306
Infectious diseases,1,Tuberculosis,78,Medium,Male,45-64,4,-.058223519474268,-.23475972,.11831268,.51800162,306
Infectious diseases,1,Tuberculosis,78,Medium,Male,45-64,5,-.0720920637249947,-.28236839,.13818426,.50159955,306
Infectious diseases,1,Tuberculosis,78,Medium,Male,45-64,-1,-.031128142029047,-.066608556,.0043522734,.08551012,306
Infectious diseases,1,Tuberculosis,78,Medium,Male,45-64,-2,0,0,0,,306
Infectious diseases,1,Tuberculosis,78,Medium,Male,45-64,-3,-.011445171199739,-.029173451,.0062831077,.20574471,306
Infectious diseases,1,Tuberculosis,78,Medium,Male,45-64,-4,-.0040402901358902,-.024929347,.016848767,.70461619,306
Infectious diseases,1,Tuberculosis,78,Medium,Male,45-64,-5,0,0,0,,306
Infectious diseases,1,Tuberculosis,78,High,Male,45-64,0,-.0606561973690987,-.13300678,.011694386,.1003425,179
Infectious diseases,1,Tuberculosis,78,High,Male,45-64,1,-.0528004951775074,-.15207055,.046469554,.29718021,179
Infectious diseases,1,Tuberculosis,78,High,Male,45-64,2,-.057426817715168,-.19125338,.076399744,.40031266,179
Infectious diseases,1,Tuberculosis,78,High,Male,45-64,3,-.0733049437403679,-.24256784,.095957957,.39596844,179
Infectious diseases,1,Tuberculosis,78,High,Male,45-64,4,-.0847954675555229,-.29027367,.12068275,.41860685,179
Infectious diseases,1,Tuberculosis,78,High,Male,45-64,5,-.1215035542845726,-.3635174,.1205103,.32510465,179
Infectious diseases,1,Tuberculosis,78,High,Male,45-64,-1,-.0248209722340107,-.071092881,.021450937,.29308662,179
Infectious diseases,1,Tuberculosis,78,High,Male,45-64,-2,0,0,0,,179
Infectious diseases,1,Tuberculosis,78,High,Male,45-64,-3,-.0138953141868114,-.035033528,.007242898,.19760111,179
Infectious diseases,1,Tuberculosis,78,High,Male,45-64,-4,-.01542828977108,-.04844116,.017584583,.35967234,179
Infectious diseases,1,Tuberculosis,78,High,Male,45-64,-5,0,0,0,,179
Infectious diseases,1,Tuberculosis,79,Medium,Female,25-44,0,-.0033179658930749,-.085849516,.079213582,.93719435,127
Infectious diseases,1,Tuberculosis,79,Medium,Female,25-44,1,.0326915495097637,-.085770167,.15115327,.58857942,127
Infectious diseases,1,Tuberculosis,79,Medium,Female,25-44,2,.0610870383679867,-.09641175,.21858582,.44713497,127
Infectious diseases,1,Tuberculosis,79,Medium,Female,25-44,3,.122049555182457,-.083972275,.32807139,.24559101,127
Infectious diseases,1,Tuberculosis,79,Medium,Female,25-44,4,.1638636142015457,-.081764847,.40949208,.19102435,127
Infectious diseases,1,Tuberculosis,79,Medium,Female,25-44,5,.1850918233394623,-.10308498,.47326863,.20807374,127
Infectious diseases,1,Tuberculosis,79,Medium,Female,25-44,-1,.0174831673502922,-.033596959,.068563297,.50231725,127
Infectious diseases,1,Tuberculosis,79,Medium,Female,25-44,-2,0,0,0,,127
Infectious diseases,1,Tuberculosis,79,Medium,Female,25-44,-3,-.0243029836565256,-.073883496,.025277533,.33668429,127
Infectious diseases,1,Tuberculosis,79,Medium,Female,25-44,-4,-.0150376735255122,-.083007514,.052932166,.66455632,127
Infectious diseases,1,Tuberculosis,79,Medium,Female,25-44,-5,0,0,0,,127
Infectious diseases,1,Tuberculosis,79,High,Female,25-44,0,.0287472810596228,-.015540272,.073034838,.20328566,220
Infectious diseases,1,Tuberculosis,79,High,Female,25-44,1,.0580008439719677,-.0085290223,.12453071,.087500766,220
Infectious diseases,1,Tuberculosis,79,High,Female,25-44,2,.0803354308009148,-.011643398,.17231426,.086917326,220
Infectious diseases,1,Tuberculosis,79,High,Female,25-44,3,.1161768585443497,.0018936135,.23046011,.046318837,220
Infectious diseases,1,Tuberculosis,79,High,Female,25-44,4,.1277693957090378,-.012175396,.2677142,.073537998,220
Infectious diseases,1,Tuberculosis,79,High,Female,25-44,5,.1728217601776123,-.0016720555,.34731558,.052231763,220
Infectious diseases,1,Tuberculosis,79,High,Female,25-44,-1,.023418853059411,-.0039177211,.050755426,.093131766,220
Infectious diseases,1,Tuberculosis,79,High,Female,25-44,-2,0,0,0,,220
Infectious diseases,1,Tuberculosis,79,High,Female,25-44,-3,.0105028375983238,-.014813096,.035818771,.41613412,220
Infectious diseases,1,Tuberculosis,79,High,Female,25-44,-4,-.012462941929698,-.044543002,.019617118,.44638824,220
Infectious diseases,1,Tuberculosis,79,High,Female,25-44,-5,0,0,0,,220
Infectious diseases,1,Tuberculosis,79,Low,Female,45-64,0,.0852232202887535,-.11805865,.28850511,.41124544,102
Infectious diseases,1,Tuberculosis,79,Low,Female,45-64,1,.114718422293663,-.18717772,.41661456,.4564009,102
Infectious diseases,1,Tuberculosis,79,Low,Female,45-64,2,.1340356022119522,-.26871645,.53678769,.5142163,102
Infectious diseases,1,Tuberculosis,79,Low,Female,45-64,3,.1757257729768753,-.339513,.69096458,.50383258,102
Infectious diseases,1,Tuberculosis,79,Low,Female,45-64,4,.2884278893470764,-.32275659,.89961237,.35498887,102
Infectious diseases,1,Tuberculosis,79,Low,Female,45-64,5,.2079320102930069,-.52360487,.93946892,.57745206,102
Infectious diseases,1,Tuberculosis,79,Low,Female,45-64,-1,.0580691806972027,-.092364974,.20850334,.44930103,102
Infectious diseases,1,Tuberculosis,79,Low,Female,45-64,-2,0,0,0,,102
Infectious diseases,1,Tuberculosis,79,Low,Female,45-64,-3,.0533119551837444,-.046572421,.15319633,.29550382,102
Infectious diseases,1,Tuberculosis,79,Low,Female,45-64,-4,-.0116245681419969,-.1465046,.12325546,.86585832,102
Infectious diseases,1,Tuberculosis,79,Low,Female,45-64,-5,0,0,0,,102
Infectious diseases,1,Tuberculosis,79,Medium,Female,45-64,0,-.0180767066776752,-.055270661,.019117249,.34080118,180
Infectious diseases,1,Tuberculosis,79,Medium,Female,45-64,1,-.0298103913664818,-.087504409,.027883625,.31118992,180
Infectious diseases,1,Tuberculosis,79,Medium,Female,45-64,2,-.0156091935932636,-.097614214,.066395827,.70909268,180
Infectious diseases,1,Tuberculosis,79,Medium,Female,45-64,3,-.0192501097917557,-.13007078,.091570549,.73350871,180
Infectious diseases,1,Tuberculosis,79,Medium,Female,45-64,4,-.0145197315141559,-.14959174,.12055229,.83312714,180
Infectious diseases,1,Tuberculosis,79,Medium,Female,45-64,5,-.0150533495470881,-.17751306,.14740637,.85588759,180
Infectious diseases,1,Tuberculosis,79,Medium,Female,45-64,-1,-.0042273965664208,-.028285205,.019830411,.73053962,180
Infectious diseases,1,Tuberculosis,79,Medium,Female,45-64,-2,0,0,0,,180
Infectious diseases,1,Tuberculosis,79,Medium,Female,45-64,-3,-.0074986764229834,-.03102736,.016030008,.53219485,180
Infectious diseases,1,Tuberculosis,79,Medium,Female,45-64,-4,.015177009627223,-.0065068705,.036860891,.17011146,180
Infectious diseases,1,Tuberculosis,79,Medium,Female,45-64,-5,0,0,0,,180
Infectious diseases,1,Tuberculosis,79,High,Female,45-64,0,-.0094164675101638,-.061045576,.042212643,.72073394,151
Infectious diseases,1,Tuberculosis,79,High,Female,45-64,1,-.0102155171334743,-.098558478,.078127444,.82070047,151
Infectious diseases,1,Tuberculosis,79,High,Female,45-64,2,.0051336018368602,-.10606445,.11633165,.92790109,151
Infectious diseases,1,Tuberculosis,79,High,Female,45-64,3,-.0099758636206388,-.14577453,.12582281,.88551396,151
Infectious diseases,1,Tuberculosis,79,High,Female,45-64,4,.0024720639921725,-.15985885,.16480298,.9761883,151
Infectious diseases,1,Tuberculosis,79,High,Female,45-64,5,-.0139742344617844,-.20271231,.17476384,.88461685,151
Infectious diseases,1,Tuberculosis,79,High,Female,45-64,-1,.0195044372230768,-.0085665137,.047575388,.17324217,151
Infectious diseases,1,Tuberculosis,79,High,Female,45-64,-2,0,0,0,,151
Infectious diseases,1,Tuberculosis,79,High,Female,45-64,-3,-.0002243153721793,-.020932557,.020483926,.98306131,151
Infectious diseases,1,Tuberculosis,79,High,Female,45-64,-4,-.0171681996434927,-.046503309,.012166909,.25134918,151
Infectious diseases,1,Tuberculosis,79,High,Female,45-64,-5,0,0,0,,151
Infectious diseases,1,Tuberculosis,79,Low,Male,25-44,0,-.1360574960708618,-.29142472,.019309727,.086088397,123
Infectious diseases,1,Tuberculosis,79,Low,Male,25-44,1,-.2687007784843445,-.4653261,-.072075471,.0073961006,123
Infectious diseases,1,Tuberculosis,79,Low,Male,25-44,2,-.304724395275116,-.57413155,-.035317264,.026627097,123
Infectious diseases,1,Tuberculosis,79,Low,Male,25-44,3,-.3697744607925415,-.75787228,.018323353,.061837088,123
Infectious diseases,1,Tuberculosis,79,Low,Male,25-44,4,-.3319243192672729,-.77775931,.11391065,.14450434,123
Infectious diseases,1,Tuberculosis,79,Low,Male,25-44,5,-.3557985424995422,-.87362087,.16202377,.17806827,123
Infectious diseases,1,Tuberculosis,79,Low,Male,25-44,-1,-.0267564337700605,-.13245687,.078943998,.619793,123
Infectious diseases,1,Tuberculosis,79,Low,Male,25-44,-2,0,0,0,,123
Infectious diseases,1,Tuberculosis,79,Low,Male,25-44,-3,.0595808587968349,-.046802081,.1659638,.27232757,123
Infectious diseases,1,Tuberculosis,79,Low,Male,25-44,-4,.0791938602924347,-.02211865,.18050638,.12550004,123
Infectious diseases,1,Tuberculosis,79,Low,Male,25-44,-5,0,0,0,,123
Infectious diseases,1,Tuberculosis,79,Medium,Male,25-44,0,-.007220892701298,-.06344112,.048999339,.8012411,156
Infectious diseases,1,Tuberculosis,79,Medium,Male,25-44,1,-.0115380845963955,-.10642904,.083352871,.81163102,156
Infectious diseases,1,Tuberculosis,79,Medium,Male,25-44,2,-.0014157129917294,-.11658006,.11374863,.98077744,156
Infectious diseases,1,Tuberculosis,79,Medium,Male,25-44,3,.0305818021297455,-.1065289,.1676925,.66198993,156
Infectious diseases,1,Tuberculosis,79,Medium,Male,25-44,4,.0575584769248962,-.11039542,.22551239,.50177479,156
Infectious diseases,1,Tuberculosis,79,Medium,Male,25-44,5,.0651879906654358,-.14272137,.27309734,.53885907,156
Infectious diseases,1,Tuberculosis,79,Medium,Male,25-44,-1,.0118670631200075,-.018831968,.042566095,.44865423,156
Infectious diseases,1,Tuberculosis,79,Medium,Male,25-44,-2,0,0,0,,156
Infectious diseases,1,Tuberculosis,79,Medium,Male,25-44,-3,-.0423833802342415,-.076087788,-.008678969,.013712616,156
Infectious diseases,1,Tuberculosis,79,Medium,Male,25-44,-4,.0086026731878519,-.026023718,.043229066,.62629545,156
Infectious diseases,1,Tuberculosis,79,Medium,Male,25-44,-5,0,0,0,,156
Infectious diseases,1,Tuberculosis,79,High,Male,25-44,0,-.0327341333031654,-.10232469,.03685642,.35655546,118
Infectious diseases,1,Tuberculosis,79,High,Male,25-44,1,-.0362505689263344,-.12332554,.0508244,.41451368,118
Infectious diseases,1,Tuberculosis,79,High,Male,25-44,2,-.0538868345320225,-.1613307,.053557023,.3256034,118
Infectious diseases,1,Tuberculosis,79,High,Male,25-44,3,-.0458142571151257,-.19301817,.10138965,.5418548,118
Infectious diseases,1,Tuberculosis,79,High,Male,25-44,4,-.0593739300966263,-.23448312,.11573526,.5063234,118
Infectious diseases,1,Tuberculosis,79,High,Male,25-44,5,-.0694972574710846,-.27717331,.1381788,.5118888,118
Infectious diseases,1,Tuberculosis,79,High,Male,25-44,-1,-.0286665372550488,-.066965841,.0096327662,.14236657,118
Infectious diseases,1,Tuberculosis,79,High,Male,25-44,-2,0,0,0,,118
Infectious diseases,1,Tuberculosis,79,High,Male,25-44,-3,-.0023961539845914,-.035428129,.030635823,.88693839,118
Infectious diseases,1,Tuberculosis,79,High,Male,25-44,-4,-.0200924891978502,-.052413452,.012228476,.22305538,118
Infectious diseases,1,Tuberculosis,79,High,Male,25-44,-5,0,0,0,,118
Infectious diseases,1,Tuberculosis,79,Low,Male,45-64,0,-.0701358467340469,-.1588833,.018611606,.12139133,139
Infectious diseases,1,Tuberculosis,79,Low,Male,45-64,1,-.1419977694749832,-.27048445,-.013511096,.030303163,139
Infectious diseases,1,Tuberculosis,79,Low,Male,45-64,2,-.1190863475203514,-.26915151,.030978814,.11985418,139
Infectious diseases,1,Tuberculosis,79,Low,Male,45-64,3,-.1452385187149048,-.33027253,.039795477,.12393606,139
Infectious diseases,1,Tuberculosis,79,Low,Male,45-64,4,-.1591754257678986,-.38403046,.065679617,.1652928,139
Infectious diseases,1,Tuberculosis,79,Low,Male,45-64,5,-.1299230754375458,-.38408351,.12423736,.31638071,139
Infectious diseases,1,Tuberculosis,79,Low,Male,45-64,-1,-.0462422035634518,-.097567171,.0050827628,.077412754,139
Infectious diseases,1,Tuberculosis,79,Low,Male,45-64,-2,0,0,0,,139
Infectious diseases,1,Tuberculosis,79,Low,Male,45-64,-3,-.0174647308886051,-.066004224,.03107476,.48067522,139
Infectious diseases,1,Tuberculosis,79,Low,Male,45-64,-4,-.012051759287715,-.047779631,.023676114,.50851673,139
Infectious diseases,1,Tuberculosis,79,Low,Male,45-64,-5,0,0,0,,139
Infectious diseases,1,Tuberculosis,79,Medium,Male,45-64,0,-.0146695841103792,-.057585504,.028246338,.50287682,201
Infectious diseases,1,Tuberculosis,79,Medium,Male,45-64,1,-.0048895883373916,-.063626572,.053847399,.87039155,201
Infectious diseases,1,Tuberculosis,79,Medium,Male,45-64,2,.009386882185936,-.065809347,.084583111,.80671167,201
Infectious diseases,1,Tuberculosis,79,Medium,Male,45-64,3,.0025317843537778,-.092155203,.097218774,.95820409,201
Infectious diseases,1,Tuberculosis,79,Medium,Male,45-64,4,.0183421336114407,-.0980075,.13469176,.75733101,201
Infectious diseases,1,Tuberculosis,79,Medium,Male,45-64,5,.0235282182693481,-.11307473,.16013117,.73567486,201
Infectious diseases,1,Tuberculosis,79,Medium,Male,45-64,-1,-.0034982284996659,-.02414562,.017149163,.73983097,201
Infectious diseases,1,Tuberculosis,79,Medium,Male,45-64,-2,0,0,0,,201
Infectious diseases,1,Tuberculosis,79,Medium,Male,45-64,-3,.0014676433056593,-.020252334,.023187621,.89463675,201
Infectious diseases,1,Tuberculosis,79,Medium,Male,45-64,-4,.0166757795959711,-.004382933,.037734494,.12064625,201
Infectious diseases,1,Tuberculosis,79,Medium,Male,45-64,-5,0,0,0,,201
Infectious diseases,1,Tuberculosis,79,High,Male,45-64,0,-.0129304016008973,-.085934825,.06007402,.7284776,127
Infectious diseases,1,Tuberculosis,79,High,Male,45-64,1,-.0270466431975365,-.12606099,.071967706,.59237933,127
Infectious diseases,1,Tuberculosis,79,High,Male,45-64,2,-.012405127286911,-.13845932,.11364907,.84704852,127
Infectious diseases,1,Tuberculosis,79,High,Male,45-64,3,-.0060903457924724,-.17188603,.15970533,.94260293,127
Infectious diseases,1,Tuberculosis,79,High,Male,45-64,4,-.017717968672514,-.21473476,.17929882,.86008555,127
Infectious diseases,1,Tuberculosis,79,High,Male,45-64,5,.0602453798055649,-.17034616,.29083693,.60859615,127
